Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
BIManywhere,https://www.bimanywhere.com/,"BIManywhere mobile app for Apple iPad mobile devices provides easy and intuitive access to BIM model information anywhere on the construction job site. BIManywhere application inputs a 3D and 2D (optional) model of a building and helps the users in navigating intuitively, raising & tracking issues, creating markups, measuring dimensions, and more. Recipient of GOLD Award, Constructech 2013 Vision Award and 2012 Fiatech CETI Award",Acquired,Undisclosed,Advanced Project Management,Existing,2012,USA,Both,TRUE,,,,
Struction Site,https://www.structionsite.com/,"StructionSite solves the site capture problems of today with an easy-to-use platform that lets you seamlessly track a project’s progress, no matter where you are. Automated site capture that translates daily project updates into actionable insights.",Seed,"1,500,000",Advanced Project Management,Emerging,2016,USA,Both,TRUE,,,,
Disperse,disperse.io,"Disperse is a provider of artificial intelligence-based construction site monitoring solutions and services. Claims to use computer vision and visual recognition techniques to record, monitor, track, and inspect construction progress. Construction project managers, contractors, and building owners can use the platform for audit trailing, progress tracking, monitoring, and as-built inspection work. The system can also be integrated with Revit, Navisworks, Microsoft Project, Asta Powerproject, and Synchro PRO.",Series A,"16,700,000",Advanced Project Management,Emerging,2015,United Kingdom,Both,TRUE,,,,
Astralink,https://www.astralink.io/,"Astralink has developed an Augmented Reality (AR) solution for construction sites to detect and prevent construction errors in real-time. Available as a software, the product helps contractors and real-estate developers to augment the digital blueprints in real locations inside the construction site and then it uses proprietary computer vision & deep learning algorithms to detect mismatches between as-built and the BIM model throughout the construction project life cycle. Claims that product can be operated from a standard tablet and does not require any prior training",Seed,"1,000,000",Advanced Project Management,Emerging,2015,Israel,Both,TRUE,,,,
Finalcad,finalcad.com,Mobile-first quality management for construction projects,Series C,"63,000,000",Advanced Project Management,Existing,2011,France,Both,TRUE,,,,
Siteaware,https://www.siteaware.com/,"SiteAware provides continuous quality inspection reports of buildings under construction, as well as completed buildings. We scan facades and the building’s structure (decks), compare as-built to plans and verify the quality requirements. We provide an inspection report that confirms the quality of execution and highlights issues which should be addressed. The digital inspection is provided as a turn-key service. SiteAware performs the data capture using drones-robots and other sensors, computer vision, AI and the a detailed quality conformation report.

transforms ordinary consumer drones into powerful construction equipment, delivering precise and comprehensive construction site data. Project monitoring and site management are improved through the 3D data provided by their autonomous – and situation-aware – drones.",Series A,"1,500,000",Advanced Project Management,Emerging,2015,Israel,Both,TRUE,,,,
Geniebelt,https://geniebelt.com/,"Danish startup GenieBelt created a project management software for the construction industry. The interface bundles a few valuable features such as all necessary information about a project, communications, live monitoring, web & mobile access as well as easy-to-perceive reporting material.

Construction projects never go to plan. Delays and changes cause havoc on-site, teams work to different programmes. GenieBelt connects the programme to project teams in real time, enabling everyone to communicate and collaborate effectively and rally around the plan.",Series A,"3,400,000",Advanced Project Management,Emerging,2013,Denmark,Both,TRUE,,,,
PlanGrid,https://www.plangrid.com/gb/,"Leader in construction productivity software. Access all project information from wherever you are. From drawings and specifications to snag lists, documents, and photos, PlanGrid is your single source of truth. Instantly distribute drawings and documents that are automatically hyperlinked, versioned in order, and easily searchable with full sheet search. ",Acquired,"69,100,000",Advanced Project Management,Existing,2011,USA,Both,TRUE,,,,
Rhumbix,https://www.rhumbix.com/,"Intuitive tools for the field and office
The Rhumbix mobile app is built field-ready with easy-to-use tools for capturing and sharing field data while the web app enables the home office to stay connected throughout the project.

Rhumbix develops a mobile platform designed for the construction craft workforce. It modernizes construction field operations, helping builders go paperless in the field and improving how they measure and manage labor productivity to be more profitable. Rhumbix was founded in 2013 and is headquartered in San Francisco, California.",Series B,"34,900,000",Advanced Project Management,Existing,2014,USA,Both,TRUE,,,,
Fieldlens,https://fieldlens.com/,Fieldlens offers a tool that improves communication and collaboration for construction project teams,Acquired,"12,900,000",Advanced Project Management,Existing,2011,USA,Both,TRUE,,,,
BuildUp,https://buildup.co/,"Construction Software for Punch List and Task Management
Improve quality, lower costs and shorten timelines. Streamlines communication and issue resolution between owners/developers, construction teams and subcontractors",Series A,"8,600,000",Advanced Project Management,Emerging,2013,Israel,Both,TRUE,,,,
Assignar,https://www.assignar.com/,"Assignar is a SaaS platform that helps construction contractors run their operations by improving productivity, efficiency and safety. Schedule crews and equipment, manage compliance quality and safety, and monitor progress from a single platform. ",Series A,"10,700,000",Advanced Project Management,Emerging,2014,Australia,Both,TRUE,,,,
BulldozAIR,https://www.bulldozair.com/,"Construction app to deliver your projects on time & on budget.
BulldozAIR is a project management platform for your construction teams.",Seed,"1,200,000",Advanced Project Management,Emerging,2012,France,Both,TRUE,,,,
SiteSee,https://www.sitesee.io/,"Know whether build matches design. Reduce site visits and improve design, build or maintenance workflows by understanding the real world as-built condition of your infrastructure.  Measure, inspect and compare records online - or automate manual processes by leveraging SiteSee's world leading AI Audit Engine, an artificial intelligence equipment recognition technology and condition assessment technology.",Seed,"60,000",Advanced Project Management,Distant,2016,Australia,Both,TRUE,,,,
Ipsum,https://www.ipsumapp.co/en/,Web and mobile platform for managing engineering and construction projects,Seed,"1,100,000",Advanced Project Management,Emerging,2014,Chile,Both,TRUE,,,,
Unearth,https://unearthlabs.com/,"Unearth improves productivity in construction by providing a revolutionary collaboration software powered by IoT and remote sensing.
Track progress, avoid rework, eliminate disputes
OnePlace™ gives construction teams a more intuitive way to manage information. Combine photos, blueprints, drone surveys, and more. Create a comprehensive map of your project and consolidate all your construction data in one simple GIS platform.",Series A,"11,300,000",Advanced Project Management,Emerging,2016,USA,Both,TRUE,,,,
Avvir,https://avvir.io/,"Avvir unleashes the latent potential of BIM technology by finally closing the feedback loop and keeping building models continuously up-to-date. This enables construction teams to closely monitor progress and catch mistakes before major rework is required. We achieve this by automating the processes around data acquisition, visualization, and analysis, so that BIM updates can be made in hours rather than weeks.

We provide you with real-time insights to protect your project from budget and schedule overruns.",Seed,"2,500,000",Advanced Project Management,Emerging,2017,USA,Both,TRUE,,,,
Ynomia,https://ynomia.io/,"We offer a simple end-to-end technology solution that creates a connected jobsite. Giving worksite personnel the ability to locate materials, tools, and people across the site in real time - we put the supply chain in the hands of the builders.",Seed,"3,600,000",Advanced Project Management,Emerging,2017,Australia,Both,TRUE,,,,
SAALG Geomechanics,https://www.saalg.com/,"AI-enabled project monitoring solutions for the construction industry. We specialize in real-time geotechnical monitoring data analysis to minimize risk, save time and maximize the profit of your construction project. The software provides real-time analysis of the behavior of the ground during civil works and large building projects.",Undisclosed,Undisclosed,Advanced Project Management,Emerging,2016,Spain,Both,TRUE,,,,
PlanRadar,https://www.planradar.com/,"SaaS solution for documentation and communication in construction and real estate projects e.g. construction documentation, task and defect management. due diligence, etc.).",Undisclosed,Undisclosed,Advanced Project Management,Existing,2013,Austria,Both,TRUE,,,,
Solidia Technologies,https://www.solidiatech.com/,"Solidia Technologies is a cement and concrete technology company, offering patented green solutions, enabling clients to use CO2 to create superior, sustainable building materials. Two core technologies: 1. Cement manufacturing technology, which reduces gas emissions during manufacturing by 30-40%. 2. Concrete curing technology using CO2 instead of water, removing CO2 from the environment and saving large volumes of water.",Series C,"27,000,000",New Cement,Emerging,2008,USA,Cement,TRUE,,,,
Blue planet,http://www.blueplanet-ltd.com/#technology,"Blue Planet exisits to develop and commercialize a scalable solution for CO2 mitigation that is both economically and technically sustainable. Its technology uses a similar mineralization process to marine ecosystems (coral) to convert CO2 into carbon negative building materials. The carbonate rocks produced are used in place of natural limestone rock mined from quarries, which is the principal component of concrete. ",Series A,"4,083,000",Carbon Capture,Existing,2013,USA,Cement,TRUE,,,,
Carbon Free Chemicals,https://www.carbonfreechem.com/,"Operates as an environmental technology company that converts carbon dioxide emissions to solids for long-term storage. Captures harmful pollutants from manufacture such as CO2 and SOx and NOx, and transforms them into marketable products, such as sodium bicarbonate (baking soda), hydrochloric acid, caustic soda, and bleach.",Acquired,"143,500,000",Carbon Capture,Existing,2005,USA,Both,TRUE,,,,
